row ID,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,Recall,Precision,Sensitivity,Specifity,F-measure,Accuracy,Cohen's kappa,,
1,1870,1610,4154,2370,0.441037736,0.537356322,0.441037736,0.720680083,0.484455959,,,,
2,1,3,9519,481,0.002074689,0.25,0.002074689,0.99968494,0.004115226,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.573870452,0.191409318,,20
0,3846,2645,2362,1151,0.769661797,0.59251271,0.769661797,0.471739565,0.669568245,,,,
1,1875,1635,4129,2365,0.442216981,0.534188034,0.442216981,0.716342817,0.483870968,,,,
2,1,2,9520,481,0.002074689,0.333333333,0.002074689,0.99978996,0.004123711,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.571971212,0.188085558,,21
0,3874,2661,2346,1123,0.775265159,0.592807957,0.775265159,0.468544038,0.67186958,,,,
1,1865,1601,4163,2375,0.439858491,0.538084247,0.439858491,0.722241499,0.484038412,,,,
2,1,2,9520,481,0.002074689,0.333333333,0.002074689,0.99978996,0.004123711,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.573770492,0.190987824,,22
0,3871,2659,2348,1126,0.774664799,0.59280245,0.774664799,0.468943479,0.671640496,,,,
1,1862,1609,4155,2378,0.439150943,0.536444829,0.439150943,0.720853574,0.48294644,,,,
2,1,2,9520,481,0.002074689,0.333333333,0.002074689,0.99978996,0.004123711,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.573170732,0.189907592,,23
0,3870,2668,2339,1127,0.774464679,0.591924136,0.774464679,0.467145996,0.6710013,,,,
1,1859,1604,4160,2381,0.438443396,0.536817788,0.438443396,0.721721027,0.48266909,,,,
2,1,2,9520,481,0.002074689,0.333333333,0.002074689,0.99978996,0.004123711,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.572770892,0.189055588,,24
0,3873,2653,2354,1124,0.775065039,0.593472265,0.775065039,0.470141801,0.672220776,,,,
1,1873,1604,4160,2367,0.441745283,0.538682773,0.441745283,0.721721027,0.485421796,,,,
2,0,1,9521,482,0,0,0,0.99989498,NaN,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
8,0,0,10002,2,0,,0,1,,,,,
9,0,0,10002,2,0,,0,1,,,,,
Overall,,,,,,,,,,0.574370252,0.192115438,,25
0,3874,2659,2348,1123,0.775265159,0.592989438,0.775265159,0.468943479,0.671986123,,,,
1,1864,1606,4158,2376,0.439622642,0.537175793,0.439622642,0.721374046,0.483527886,,,,
2,0,1,9521,482,0,0,0,0.99989498,NaN,,,,
3,0,0,9799,205,0,,0,1,,,,,
4,0,0,9967,37,0,,0,1,,,,,
5,0,0,9982,22,0,,0,1,,,,,
6,0,0,9990,14,0,,0,1,,,,,
7,0,0,10001,3,0,,0,1,,,,,
